País,Instituição,Página web,Código Erasmus,Áreas,Estudantes para Estudos,,,Estudantes para Estágio,,,Mobilidade de Staff Ensino,,Mobilidade de Staff Formação,,Válido,Em renovação,Número de Estudantes por ano,Número de Meses por Estudante,Ciclo de Estudos,Número de Estudantes por ano,Número de Meses por Estudante,Ciclo de Estudos,Número de Docentes,Duração possível da Mobilidade (Mínimo 8 horas),Número de Docentes,Duração possível da Mobilidade,,
ALEMANHA - DE,HNU - Neu Ulm,https://www.hnu.de/en/,D ULM03,GE,4,5,1º/2º,N/A,N/A,N/A,2,5 dias,N/A,N/A,SIM,N/A
BÉLGICA - BE,VIVES University of Applied Sciences,https://www.vives.be/en/vives-international,BE BRUGGE11 / BE KOTRIJ01,EI - GT - GE,1+1+4,5,1º/2º,4,3,N/A,2,5 dias,N/A,N/A,SIM,SIM
BÉLGICA - BE,Karel de Grote University College,https://www.kdg.be/en,B ANTWERP59,RH - GE,2+2,5,1º,N/A,N/A,N/A,1,5 dias,1+1,5 dias,SIM,SIM
BÉLGICA - BE,Thomas More Kempen Vzw,https://www.thomasmore.be/en/welcome,B GEEL07,EI - EST,2+2,5,1º,2 (somente EI),5,1º,4,8 dias,2 (somente EI),8 dias,SIM,N/A
BÉLGICA - BE,Thomas More Mechelen-Antwerpen,https://www.thomasmore.be/en/welcome,B  MECHELE14,GE - RH -GT,3+3+3,5,1º,N/A,N/A,1º,2+2+2,5 dias,N/A,N/A,SIM,N/A
BÉLGICA - BE,PXL,pxl.be,B HASSELT22,EI - GE,4,5,1º,N/A,N/A,N/A,2,5 dias,2,5 dias ,SIM,N/A
BULGÁRIA - BG,University of Economics - Varna,https://ue-varna.bg/en,BG VARNA04,GE - GT - EI ,2+2+2+2,5,1º/2º,TBD,TBD,TBD,2,7 dias,1,7 dias,SIM,N/A
BULGÁRIA - BG,NIVERSITET PO BIBLIOTEKOZNANIE I INFORMACIONNI TEHNOLOGII,unibit.bg ,BG SOFIA24,EI ,2,10,1º/2º,N/A,N/A,N/A,4,5 dias,2,5 dias,SIM,N/A
CHIPRE - CY,College of Tourism and Hotel Management,https://www.cothm.ac.cy/,CY NICOSIA10,GE - GT,6,5,1º,N/A,N/A,N/A,2,10 dias,2,10 dias,SIM,N/A
CHIPRE - CY,The Cypiom,https://cima.ac.cy/,CY NICOSIA32,GE,5,5,1º/2º,N/A,N/A,N/A,4,10 dias,4,10 dias,SIM,N/A
CHIPRE - CY,Philips University,https://philipsuni.ac.cy,CY NICOSIA38,GE - EI,15,9,1º/2º,N/A,N/A,N/A,2,10 dias,TBD,TBD,SIM,SIM
CHIPRE - CY,City Unity College Nicosia,https://www.cityu.ac.cy/en/,CY NICOSIA35,GE - GT,2+2,4,1º/2º,N/A,N/A,N/A,2+2,5 dias,2,5 dias,SIM,SIM
CROÁCIA - CRO,University of Split,https://www.unist.hr/en/,HR SPLIT01,GE - EI - MM,3,5,1º/2º,N/A,N/A,N/A,2,5 dias,2,5 dias,SIM,N/A
ESLOVÁQUIA - SK,Slovak University of Technology in Bratislava,https://www.stuba.sk/english.html?page_id=132,SK BRATISL01,EI - EST,2 + 2,5,1º/2º,N/A,N/A,N/A,1 + 1,5 dias,TBD,TBD,SIM,N/A
ESLOVÉNIA - SL,University of Novo mesto,https://uni-nm.si/en/,SI NOVO-ME13,GE - EI,2 + 2,6,1º,N/A,N/A,N/A,1,5 dias,1,5 dias,SIM,N/A
ESPANHA - ES,Universidad de Granada - Facultad de Relaciones Laborales y Recursos Humanos,https://laborales.ugr.es/,E GRANADA01,RH,4,9,1º,N/A,N/A,N/A,2,5 dias,N/A,N/A,SIM,N/A
ESPANHA - ES,Universidad de Jaén,https://www.ujaen.es/,E JAEN01,GE/RH - GT - EI - MM,2+2+2,5,1º/2º,N/A,N/A,N/A,1,5 dias,1,5 dias,SIM,N/A
ESPANHA - ES,Universidad de Málaga - Facultad de Ciencias Económicas y Empresariales,https://www.uma.es/facultad-de-ciencias-economicas-y-empresariales/,E MALAGA01,GE,2,5,1º/2º,N/A,N/A,N/A,1,5 dias,1,5 dias,SIM,N/A
ESPANHA - ES,Universidad de Sevilla - Facultad de Turismo y Finanzas,https://ftf.us.es/,E SEVILLA01,GE - GT,2,6,1º,N/A,N/A,N/A,1+1,5 dias,1+1,5 dias,SIM,N/A
ESPANHA - ES,Universidad de Valladolid,http://www.eco.uva.es/,E VALLADO01,GE - RH - GT - EI - MM,6+2,9,1º,N/A,N/A,N/A,8,6 dias,N/A,N/A,SIM,N/A
ESPANHA - ES,Universidad de La Coruña - Facultad de Informática,https://www.fic.udc.es/,E LA-CORU01,EI - MM,2,5,1º,N/A,N/A,N/A,1,5 dias,N/A,N/A,SIM,N/A
ESPANHA - ES,Universidad de La Rioja,https://www.unirioja.es/,E LOGRONO01,GE - RH - GT - EI - MM,2+2+2+2,5,1º/2º,N/A,N/A,N/A,2+2+2,5 dias,2,5 dias,SIM,N/A
ESPANHA - ES,Universidad Católica San Antonio de Murcia,https://www.ucam.edu/,E MURCIA05,GE - GT - EI - MM,3 + 1 + 1 +1,6,1º,1+1+1,3,1º,3+3+3,5 dias,1+1+1,5 dias,SIM,N/A
ESPANHA - ES,Universidad de Almería,https://www.ual.es/,E ALMERIA01,RH,2,5,1º,N/A,N/A,N/A,2,5 dias,TBD,TBD,SIM,N/A
ESPANHA - ES,"Universidad de Alcalá - Facultad de Ciencias Económicas, Empresariales y Turismo",http://economicasempresarialesyturismo.uah.es/facultad/localizacion.asp,E ALCAL-H01,GE - GT,2,10,1º,N/A,N/A,N/A,1,5 dias,N/A,N/A,SIM,N/A
ESPANHA - ES,Universidad de Alcalá - Escuela Politécnica Superior,http://economicasempresarialesyturismo.uah.es/facultad/localizacion.asp,E ALCAL-H01,EI,1,10,1º,N/A,N/A,N/A,1,5 dias,N/A,N/A,SIM,N/A
ESPANHA - ES,Universidad de Cádiz,https://www.uca.es/,E CADIZ01,EI - GT ,3+3,9,1º,N/A,N/A,N/A,1+1,5 dias,N/A,N/A,SIM,N/A
ESPANHA - ES,Universidad de Castilla-La Mancha - E.S. de Ingeniería Informática,https://www.esiiab.uclm.es/,E CIUDA-R01,EI,3,9,1º/2º,3,3,1º/2º,3,8 dias,3,2 dias,SIM,N/A
ESPANHA - ES,Universidad de Oviedo - Escuela de Ingeniería Informática,https://ingenieriainformatica.uniovi.es/,E OVIEDO01,EI,6+2,10,1º/2º,TBD,TBD,N/A,4,5 dias,TBD,TBD,SIM,N/A
ESPANHA - ES,Universidad Pública de Navarra,https://www.unavarra.es/home,E PAMPLON02,GE,"4/2","5/10",1º,N/A,N/A,N/A,2,10 dias,TBD,TBD,SIM,N/A
ESPANHA - ES, Universidad Catolica Santa Teresa de Jesus de Avila,https://www.ucavila.es/,E  AVILA01,GE - EI,2,9,1º/2º,N/A,N/A,N/A,2,5 dias,N/A,N/A,SIM,N/A
ESPANHA - ES,Universidad Complutense Madrid - Facultad de Informática,https://informatica.ucm.es/,E MADRID03,EI,2,10,1º/2º,N/A,N/A,N/A,1,5  dias,1,5 dias,SIM,N/A
ESPANHA - ES,Universidad de Vigo - Facultade de Ciencias Empresariais e Turismo,http://fcetou.uvigo.es/es/,E UVIGO01,GT,"4/2","5/10",1º/2º,N/A,N/A,N/A,2,5  dias,2,5  dias,SIM,N/A
ESPANHA - ES,Universidad de Zaragoza - Escuela Universitaria Politécnica de Teruel,https://eupt.unizar.es/,E  ZARAGOZ01,GE - EI,2+2,10,1º/2º,N/A,N/A,N/A,1+1,5 dias,TBD,TBD,SIM,N/A
ESPANHA - ES,Escuela Superior de Turismo Iriarte (Tenerife),https://www.iriarteuniversidad.es/,E TENERIF28,GE - GT,4,5,1º/2º,N/A,N/A,N/A,TBD,TBD,2,5 dias,SIM,N/A
ESPANHA - ES,Universidad San Jorge,https://www.usj.es/,E ZARAGOZ07,GE - EI,2+2,10,1º/2º,N/A,N/A,N/A,1+1,5 dias,1,5 dias,SIM,N/A
ESPANHA - ES,FUNDACION UNIVERSIDAD FRANCISCO DE VITORIA,https://www.ufv.es/,E MADRID28,EI,4,5,1º,N/A,N/A,N/A,2,5 dias,2,5 dias,SIM,N/A
FRANÇA - FR,ASSOCIATION GESTION ECOLE CENTRALE ELECTRONIQUE,ece.fr,F PARIS222,EI,2,6,1º/2º,N/A,N/A,N/A,2,5 dias,2,5 dias,SIM,N/A
FRANÇA - FR,ECEMA - Ecole de Commerce et Management,https://www.ecema.fr/,F LYON135,GE,2,10,1º/2º,N/A,N/A,N/A,2,TBD,TBD,TBD,SIM,N/A
FRANÇA - FR,EPITA - School of Engineering and Computer Science,https://www.epita.fr/en/,F BICETRE 02,EI,4,10,1º/2º,TBD,TBD,N/A,2,5 dias,TBD,TBD,SIM,N/A
FRANÇA - FR,ISG - Institut Supérieur de Gestion,https://www.isg.fr/en/accueil/,F PARIS332,GE,2,5,1º,N/A,N/A,N/A,N/A,N/A,2,5 dias,SIM,SIM
GRÉCIA - GR,Panepistimio Thessalias - Department of Computer Science (Lamia),http://cs.uth.gr/en/home/,G VOLOS01,EI - MM,4,5,1º/2º,N/A,N/A,N/A,4,5 dias,4,5 dias,SIM,N/A
GRÉCIA - GR,Panepistimio Thessalias - Department of Digital Systems (Larissa),http://cs.uth.gr/en/home/,G VOLOS01,EI - MM,2,6,1º/2º,N/A,N/A,N/A,2,5 dias,N/A,N/A,SIM,N/A
GRÉCIA - GR,DIETHNES PANEPISTIMIO ELLADOS (International Hellenic University),https://www.ihu.gr/en/enhome,G  THESSAL14,EI - GE,2+2,5,1º,N/A,N/A,N/A,1+2,5 dias,N/A,N/A,SIM,N/A
PAÍSES BAIXOS - NL,"STICHTING HOGESCHOOL ROTTERDAM - Rotterdam Business School",hr.nl,"NL ROTTERD03",GE,4,5,1º,N/A,N/A,N/A,1,5 dias,1,5 dias,SIM,N/A
HUNGRIA - HU,"Kodolanyi Janos Egyetem","kodolanyi.hu",HU SZFVAR01,GE - EI - GT,2,5,1º,N/A,N/A,N/A,2,6 dias,3,5 dias,SIM,N/A
HUNGRIA - HU,EOTVOS LORAND TUDOMANYEGYETEM,https://www.elte.hu/en/,HU BUDAPES01,GE,2,10,1º/2º,N/A,N/A,N/A,2,5 dias,2,5 dias,SIM,N/A
ITÁLIA - IT,Universita degli Studi dell'Insubria,https://www.uninsubria.eu/,I VARESE02,GT - EI - COM,2+2+2,5,1º/2º,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SIM,N/A
ITÁLIA - IT,Università degli Studi di Teramo,"https://www.unite.it/UniTE/",I  TERAMO01,GT-GE-MM-EI,2+2+2,6,1º/2º,N/A,N/A,N/A,4,5 dias,4,5 dias,SIM,N/A
ITÁLIA - IT,Università di Camerino,"https://www.unicam.it/",I CAMERIN01,EI,4,6,1º/2º,N/A,N/A,N/A,2,5 dias,2,5 dias,SIM,N/A
ITÁLIA - IT,Universita degli Studi di Pavia,https://web-en.unipv.it/,I PAVIA01,EST,N/A,N/A,N/A,N/A,N/A,N/A,1,7 dias,N/A,N/A,SIM,N/A
LITUÂNIA - LT,Higher Education Institution Klaipėdos valstybinė kolegija,https://www.kvk.lt/en/,LT KLAIPED09,GE - GT - EI,6,5,1º,6,3,1º,6,5 dias,6,5 dias,SIM,N/A
LITUÂNIA - LT,MARIJAMPOLE UNIVERSITY OF APPLIED SCIENCES,https://marko.lt/en/,LT MARIJAM01,GE - EI,10,8,1º,N/A,N/A,N/A,10,25 dias,10,25 dias,SIM,N/A
LITUÂNIA - LT,MYKOLO ROMERIO UNIVERSITETAS,mruni.eu,LT VILNIUS06,GE - EI,4,10,1º/2º,N/A,N/A,N/A,3,5 dias,3,5 dias,SIM,N/A
MACEDÓNIA DO NORTE - MK,University of Tourism and Management,https://www.utms.edu.mk/en/,MK SKOPJE15,GT - RH - EI - MM,2 + 2,6,1º/2º,1,3,1º,3,5 dias,1,5 dias,SIM,N/A
POLÓNIA - PL,Akademia WSB,wsb.edu.pl,PL DABROWA01,GE - EI,4,5,1º/2º,N/A,N/A,N/A,2,5 dias,6,5 dias,SIM,N/A
POLÓNIA - PL,Radom Academy of Economics,https://ahns.pl/en/,PL RADOM04,GE - EI - MM,4,6,1º/2º,1,3,1º,5,5 dias,5,5 dias,SIM,N/A
POLÓNIA - PL," State University of Applied Sciences in Wloclawek",https://puz.wloclawek.pl/#,PL WLOCLAW02,GE - EI - MM - ICE,4,10,1º/2º,N/A,N/A,N/A,10,10 dias,20,10 dias,SIM,N/A
POLÓNIA - PL,"Szkola Glowna Turystyki i Hotelarstwa Vistula",vistulahospitality.edu.pl,PL WARSZAW79,GT,3,5,1º/2º,N/A,N/A,N/A,2,5 dias,2,5 dias,SIM,Sim
POLÓNIA - PL,"AKADEMIA FINANSOW I BIZNESU VISTULA",vistula.edu.pl ,PL WARSZAW78,GE - EI,3 + 3,5,1º/2º,N/A,N/A,N/A,2,5 dias,2,5 dias,SIM,N/A
POLÓNIA - PL,Wyzsza Szkola Humanitas,https://www.humanitas.edu.pl/en,PL SOSNOWI01,GE - RH,2,10,1º/2º,2,4,1º/2º,2,10 dias,2,10 dias,SIM,N/A
ROMÉNIA - RO,Politehnica University Timisoara,https://www.upt.ro/Universitatea-Politehnica-Timisoara_en.html,RO TIMISOA04,GE - EI - MM,2 + 2,10,1º/2º,1+ 1,5,1º/2º,2 + 2,10 dias,1 + 1,5 dias,SIM,N/A
ROMÉNIA - RO,Universitatea Romano Americana Asociatie,https://www.rau.ro/?lang=en,RO BUCURES18,GE - GT - EI,4,10,1º/2º,N/A,N/A,N/A,3,15 dias,2,10,SIM,N/A
ESLOVÁQUIA - SK,SLOVENSKA TECHNICKA UNIVERZITA V BRATISLAVE,stuba.sk,"SK BRATISL01",EST - EI,4 + 2,10,1º/2º,N/A,N/A,N/A,3,5 dias,N/A,N/A,SIM,N/A
ESLOVÁQUIA - SK,VYSOKA SKOLA MANAZMENTU,vsm.sk,"SK TRENCIN02",GE,2,10,1º/2º,N/A,N/A,N/A,N/A,N/A,2,10 dias,SIM,N/A
TURQUIA - TR,"ISTANBUL AYDIN UNIVERSITESI VAKFI",aydin.edu.tr,TR ISTANBU25,GE - EI,3,5,1º/2º,N/A,N/A,N/A,3,5 dias,10,5 dias,SIM,N/A
TURQUIA - TR,DOGUS UNIVERSITY,dogus.edu.tr,TR ISTANBU12,"GT / Ctesp GTHR, GVT",3,6,1º,2,4,1º,2,5 dias,N/A,N/A,SIM,N/A
TURQUIA - TR,Mugla Sitki Koçman University,https://www.intstudent.mu.edu.tr,TR MUGLA01,GE - GT,2,5,1º/2º,N/A,N/A,N/A,2,5 dias,N/A,N/A,SIM,N/A
TURQUIA - TR,Bülent Ecevit University,https://en.beun.edu.tr/,TR ZONGULD01,HR - GT - EI - MM,2 + 2 + 2,5,1º/2º,N/A,N/A,N/A,2+2+2,5 dias,2 + 2 +2,5 dias,SIM,N/A
TURQUIA - TR,Firat University,http://disiliskiler.koord.firat.edu.tr/en,TR ELAZIG01,GE - EI - MM - GT,4,5,1º/2º,N/A,N/A,N/A,2,5 dias,1,flexível,SIM,N/A
TURQUIA - TR,Tokat Gaziosmanpaşa University,https://www.gop.edu.tr/Default.aspx?d=en-US,TR TOKAT01,GE - GT,2 + 2,5,1º/2º,2 + 2,6,1º/2º,2 + 2,10 dias,2 + 2,10 dias,SIM,N/A
TURQUIA - TR,Ege University,https://ege.edu.tr/eng-0/homepage.html,TR IZMIR02,GT - EI - GE,8,5,1º,N/A,N/A,N/A,2,7,TBD,TBD,SIM,N/A